ID,Type,Genre,Difficulty,Question,Answer
35,1,4,2,"In Season 4, what happened to Dusty Depot in Fortnite?",It was destroyed by a meteor.
36,1,4,2,What year did the first Black Ops come out?,2010
37,1,4,2,How many just cause games are there?,4
38,1,4,3,"As of April 2014, how many million copies has Assassin's Creed sold?",73
39,1,4,3,What is the name of Ellie's Mom in The Last of Us?,Anna
40,1,4,3,In Farcry which leaves were used to create basic healing syringes?,Green
41,2,1,1,Who played Ferris Bueller in 'Ferris Bueller's Day Off'?,Matthew Broderick
42,2,1,1,What kind of killer animal do the knights fight in the cave in 'Monty Python and the Holy Grail'?,Rabbit
43,2,1,1,How much money do Al and Ty bet over a game of golf with Judge Smails in 'Caddyshack'?,"80,000"
44,2,1,2,What soul crushing company does Peter Gibbons work for in 'Office Space'?,Initech
45,2,1,2,Marty convinces his future father that he's what alien in 'Back to the Future'?,Darth Vader
46,2,1,2,What is Shaun's weapon of choice against the zombies in 'Shaun of the Dead'?,A cricket bat
47,2,1,2,What is the last name of every member of the Town Council in 'Blazing Saddles'?,Johnson
48,2,1,3,WC Boggs is a character from which Carry On film?,At Your Convience
49,2,1,3,"Who is 'only pawn, in game of life' in 'Blazing Saddles'?",Mongo
50,2,1,3,"According to Frank Drebin from 'The Naked Gun,' 'You take a risk getting up the morning, crossing the street or' what?",Sticking Your Face In A Fan
51,2,2,1,Which character on The Office was originally an assistant casting director on the show?,Phyllis Smith
52,2,2,1,Which character in which show says the line ‘there’s always money in the banana stand’?,George Sr. from Arrested Development
53,2,2,1,Which iconic actor plays the part of Frank Reynolds in It’s Always Sunny In Philadelphia?,Danny Devito
54,2,2,2,What part did director Kevin Smith play in 'Clerks'?,Silent Bob
55,2,2,2,What does The Andy Griffith Show's Barney Fife keep in his shirt pocket?,Bullet
56,2,2,2,How does George Costanza's fiancee die on Seinfeld?,Licking envelopes
57,2,2,2,Which actor on Full House wore fake teeth?,Mary-Kate & Ashely Olsen
58,2,2,3,How many different actors played Topanga’s parents on Boy Meets World?,Five different actors.
59,2,2,3,What was the most-watched episode of Friends?,The one after the super bowl
60,2,2,3,Which actress lied about her age when she auditioned for That '70s Show?,Mila Kunis
61,2,3,1,(tv/Book) Nice Cock!,
62,2,3,1,(Movie/Book) Nice Cock!,
63,2,3,1,(Game/Book) Nice Cock!,
64,2,3,2,Nice Cock!,
65,2,3,2,Nice Cock!,
66,2,3,2,Nice Cock!,
67,2,3,2,Nice Cock!,
68,2,3,3,Nice Cock!,
69,2,3,3,Nice Cock!,
70,2,3,3,Nice Cock!,
71,2,4,1,"Portal, the cake is a what?",Lie
72,2,4,1,What happens when you fall in Fall Guys?,You die and respawn
73,2,4,1,What is the mode in GMOD where you can play as a hula girl?,Prop Hunt
74,2,4,2,The Rick and Morty voice actor is also a voice actor for?,High on Life
75,2,4,2,In Overcooked what is the first item you have to cook?,Onion Soup
76,2,4,2,What is the goal in the game I am Bread?,Toast the bread
77,2,4,2,What is the name of the South Park video game?,The Fractured but Whole
78,2,4,3,When did Jackbox come out?,1989
79,2,4,3,Goat Simulator was originally developed as what kind of joke?,April Fools
80,2,4,3,Who developed the game Bad Eggs?,Rob and John Donkin
